category,attribute,question_type,question_text,purpose
基本属性,ニックネーム,ASSUMPTION,本名そのままより、別の呼ばれ方の方が多いですか？,基本属性の把握
基本属性,ニックネーム,COMPARISON,あだ名が定着する人としない人っていますよね。どっちタイプですか？,基本属性の把握
基本属性,ニックネーム,COMPARISON,職場と昔の友達で呼び方が違う人っていますよね。そういうのあります？,基本属性の把握
基本属性,ニックネーム,PAST,学生の頃ってどんな呼ばれ方してました？,基本属性の把握
基本属性,ニックネーム,PAST,昔からずっと同じあだ名ですか？,基本属性の把握
基本属性,ニックネーム,SITUATIONAL,新しいコミュニティに入ると、最初は何て名乗ることが多いですか？,基本属性の把握
基本属性,ニックネーム,SITUATIONAL,オンラインで知り合う人にはどんな名前で呼んでもらうことが多いですか？,基本属性の把握
基本属性,ニックネーム,OBSERVATION,呼びやすい名前ですね。略されることも多そうです。,基本属性の把握
基本属性,ニックネーム,OBSERVATION,親しい人ほど呼び方が変わりそうな感じありますね。,基本属性の把握
基本属性,ニックネーム,HYPOTHETICAL,今あだ名を一つ決めるなら、どんなのがいいですか？,基本属性の把握
基本属性,ニックネーム,HYPOTHETICAL,配信とか活動名をつけるなら、今の呼ばれ方を使います？,基本属性の把握
基本属性,年齢層,DIRECT,差し支えなければ、今ってどのくらいの年代ですか？,基本属性の把握
基本属性,年齢層,DIRECT,同世代って言うと、だいたい何歳前後の人が多いですか？,基本属性の把握
基本属性,年齢層,INDIRECT,学生の頃ってスマホありました？,基本属性の把握
基本属性,年齢層,INDIRECT,子どもの頃、どんなゲームや番組が流行ってました？,基本属性の把握
基本属性,年齢層,ASSUMPTION,ポケモン初代世代っぽい気もしますね。,基本属性の把握
基本属性,年齢層,ASSUMPTION,ガラケーを普通に使ってた世代ですか？,基本属性の把握
基本属性,年齢層,COMPARISON,今の学生文化って、自分の頃とだいぶ違う感じします？,基本属性の把握
基本属性,年齢層,COMPARISON,世代によってネットの使い方って全然違いますよね。共感する部分あります？,基本属性の把握
基本属性,年齢層,PAST,学生の頃ってどんな音楽が流行ってました？,基本属性の把握
基本属性,年齢層,PAST,子どもの頃の思い出って、どんなものが強く残ってます？,基本属性の把握
基本属性,年齢層,SITUATIONAL,同年代の人と集まると、どんな話題になりやすいですか？,基本属性の把握
基本属性,年齢層,SITUATIONAL,昔の話になったとき、盛り上がるネタって何ですか？,基本属性の把握
基本属性,年齢層,OBSERVATION,懐かしいカルチャーの話に詳しそうですね。,基本属性の把握
基本属性,年齢層,OBSERVATION,昔のネットや音楽の話、かなり肌感ありますよね。,基本属性の把握
基本属性,年齢層,HYPOTHETICAL,もし今もう一度学生をやるなら、どんな学校生活になりそうです？,基本属性の把握
基本属性,年齢層,HYPOTHETICAL,今の若い世代の流行って、自分も自然に入っていけそうですか？,基本属性の把握
基本属性,出身地域,DIRECT,ご出身ってどちらなんですか？,基本属性の把握
基本属性,出身地域,DIRECT,地元はどのあたりなんですか？,基本属性の把握
基本属性,出身地域,INDIRECT,子どもの頃ってどんな街で過ごしてたんですか？,基本属性の把握
基本属性,出身地域,INDIRECT,実家のあたりって、街の感じですか？それとも自然が多い感じですか？,基本属性の把握
基本属性,出身地域,ASSUMPTION,少し関西っぽい空気ありますね。,基本属性の把握
基本属性,出身地域,ASSUMPTION,話し方に地元っぽさが残ってる感じありますね。,基本属性の把握
基本属性,出身地域,COMPARISON,地元って、都会寄りでした？それとものんびりした場所でした？,基本属性の把握
基本属性,出身地域,COMPARISON,東西で文化って結構違いますよね。自分の地元はどんな感じです？,基本属性の把握
基本属性,出身地域,PAST,学生時代はずっと地元で過ごしてたんですか？,基本属性の把握
基本属性,出身地域,PAST,小さい頃によく行ってた場所ってどんなところでした？,基本属性の把握
基本属性,出身地域,SITUATIONAL,地元に帰るとしたら、まず何を食べたいですか？,基本属性の把握
基本属性,出身地域,SITUATIONAL,初対面の人に地元を説明するとしたら、何が一番わかりやすいですか？,基本属性の把握
基本属性,出身地域,OBSERVATION,言葉のニュアンスに地元感がありますね。,基本属性の把握
基本属性,出身地域,OBSERVATION,地元トークになると急に具体的になりそうですね。,基本属性の把握
基本属性,出身地域,HYPOTHETICAL,もし今すぐ地元に1週間帰れるなら、何をしたいですか？,基本属性の把握
基本属性,出身地域,HYPOTHETICAL,地元を誰かにおすすめするとしたら、どこを案内します？,基本属性の把握
基本属性,居住地域,DIRECT,今はどのあたりに住んでるんですか？,基本属性の把握
基本属性,居住地域,DIRECT,普段よくいるエリアってどこですか？,基本属性の把握
基本属性,居住地域,INDIRECT,最寄りの街ってどんな雰囲気なんですか？,基本属性の把握
基本属性,居住地域,INDIRECT,休日に出るとしたら、どの辺まで行くことが多いですか？,基本属性の把握
基本属性,居住地域,ASSUMPTION,都心寄りに住んでそうな動き方ですね。,基本属性の把握
基本属性,居住地域,ASSUMPTION,わりとアクセス重視で住む場所選ぶタイプですか？,基本属性の把握
基本属性,居住地域,COMPARISON,住むなら便利さ重視の人と落ち着き重視の人っていますよね。どっち寄りですか？,基本属性の把握
基本属性,居住地域,COMPARISON,今の街って、前に住んでた場所と比べてどうですか？,基本属性の把握
基本属性,居住地域,PAST,今の場所には長いんですか？,基本属性の把握
基本属性,居住地域,PAST,これまで住んできた場所って、似たタイプが多いですか？,基本属性の把握
基本属性,居住地域,SITUATIONAL,友達を呼ぶなら、今の街って案内しやすいですか？,基本属性の把握
基本属性,居住地域,SITUATIONAL,引っ越すとしたら、今と似た場所を選びます？,基本属性の把握
基本属性,居住地域,OBSERVATION,街の使い方に慣れてる感じありますね。,基本属性の把握
基本属性,居住地域,OBSERVATION,生活圏がはっきりしてそうですね。,基本属性の把握
基本属性,居住地域,HYPOTHETICAL,もし家賃を気にしなくていいなら、どの辺に住みたいですか？,基本属性の把握
基本属性,居住地域,HYPOTHETICAL,次に住むなら、今より静かな場所と便利な場所、どちらを選びます？,基本属性の把握
基本属性,国籍,DIRECT,国籍ってどちらなんですか？,基本属性の把握
基本属性,国籍,DIRECT,差し支えなければ、ご自身のルーツってどこなんですか？,基本属性の把握
基本属性,国籍,INDIRECT,普段、どの文化圏の感覚が一番しっくりきます？,基本属性の把握
基本属性,国籍,INDIRECT,家ではどんな文化の行事が身近でした？,基本属性の把握
基本属性,国籍,ASSUMPTION,日本育ちでも、少し国際的な背景がありそうですね。,基本属性の把握
基本属性,国籍,ASSUMPTION,ルーツが一つじゃない感じもありますね。,基本属性の把握
基本属性,国籍,COMPARISON,文化って国によって距離感が違いますよね。どこに一番親しみあります？,基本属性の把握
基本属性,国籍,COMPARISON,食事や行事って、どの国の感覚が一番自然ですか？,基本属性の把握
基本属性,国籍,PAST,小さい頃から身近だった言葉や文化って何ですか？,基本属性の把握
基本属性,国籍,PAST,家庭の中で、海外の文化を感じることってありました？,基本属性の把握
基本属性,国籍,SITUATIONAL,書類とか自己紹介でルーツを説明するなら、どう伝えることが多いですか？,基本属性の把握
基本属性,国籍,SITUATIONAL,海外の人と話すとき、自分のバックグラウンドってどのように説明します？,基本属性の把握
基本属性,国籍,OBSERVATION,文化の話になると視点が少し広い感じありますね。,基本属性の把握
基本属性,国籍,OBSERVATION,日本の話をしつつ、別の文化感覚も自然に出てきますね。,基本属性の把握
基本属性,国籍,HYPOTHETICAL,長く暮らすなら、どの国が一番しっくりきそうですか？,基本属性の把握
基本属性,国籍,HYPOTHETICAL,もし子どもに文化を伝えるなら、どの国の要素を残したいですか？,基本属性の把握
基本属性,言語,DIRECT,普段は何語を使うことが多いですか？,基本属性の把握
基本属性,言語,DIRECT,話せる言語ってどのくらいありますか？,基本属性の把握
基本属性,言語,INDIRECT,海外のコンテンツって字幕なしでも見られます？,基本属性の把握
基本属性,言語,INDIRECT,仕事や趣味で日本語以外を使うことあります？,基本属性の把握
基本属性,言語,ASSUMPTION,たぶん英語はかなり慣れてますよね。,基本属性の把握
基本属性,言語,ASSUMPTION,会話してると、言語感覚が柔らかい感じありますね。,基本属性の把握
基本属性,言語,COMPARISON,読むのが得意な人と話すのが得意な人っていますよね。どちら寄りですか？,基本属性の把握
基本属性,言語,COMPARISON,仕事で使う言語と、普段しっくりくる言語って違います？,基本属性の把握
基本属性,言語,PAST,学生時代に得意だった言語ってあります？,基本属性の把握
基本属性,言語,PAST,昔から外国語に抵抗は少ない方でした？,基本属性の把握
基本属性,言語,SITUATIONAL,海外の人と急に話すことになったら、どの言語でいけそうですか？,基本属性の把握
基本属性,言語,SITUATIONAL,旅行先で現地の言葉を少し使いたくなるタイプですか？,基本属性の把握
基本属性,言語,OBSERVATION,言葉の切り替えが自然そうですね。,基本属性の把握
基本属性,言語,OBSERVATION,外来語の使い方がこなれてますね。,基本属性の把握
基本属性,言語,HYPOTHETICAL,新しくもう一つ言語を身につけるなら、何を選びます？,基本属性の把握
基本属性,言語,HYPOTHETICAL,1年海外で暮らすなら、どの言語圏が合いそうですか？,基本属性の把握
基本属性,外見特徴,DIRECT,自分の見た目って、どんな印象を持たれることが多いですか？,基本属性の把握
基本属性,外見特徴,DIRECT,服装や髪型って、普段どんな感じを意識してます？,基本属性の把握
基本属性,外見特徴,INDIRECT,初対面でどう見られやすいって言われます？,基本属性の把握
基本属性,外見特徴,INDIRECT,買い物するとき、まず形から見るタイプですか？色から見るタイプですか？,基本属性の把握
基本属性,外見特徴,ASSUMPTION,たぶん見た目はシンプルに整える派ですよね。,基本属性の把握
基本属性,外見特徴,ASSUMPTION,こだわるところは結構はっきりしてそうですね。,基本属性の把握
基本属性,外見特徴,COMPARISON,見た目で個性を出す人と、機能性重視の人っていますよね。どちらに近いですか？,基本属性の把握
基本属性,外見特徴,COMPARISON,服って毎日変えたい派ですか？定番を持つ派ですか？,基本属性の把握
基本属性,外見特徴,PAST,学生の頃と今で、見た目の好みって変わりました？,基本属性の把握
基本属性,外見特徴,PAST,昔はどんな服装や髪型が多かったですか？,基本属性の把握
基本属性,外見特徴,SITUATIONAL,人前に出る日と普段の日で、見た目の整え方って変わります？,基本属性の把握
基本属性,外見特徴,SITUATIONAL,大事な予定の日って、どこに一番気を使います？,基本属性の把握
基本属性,外見特徴,OBSERVATION,全体の雰囲気づくりが上手いですね。,基本属性の把握
基本属性,外見特徴,OBSERVATION,見た目にさりげない統一感がありますね。,基本属性の把握
基本属性,外見特徴,HYPOTHETICAL,もし服を一つの系統だけに絞るなら、どんな感じにします？,基本属性の把握
基本属性,外見特徴,HYPOTHETICAL,髪型を大きく変えるとしたら、どんな方向がしっくりきそうですか？,基本属性の把握
社会属性,職業,DIRECT,普段はどんなお仕事をされてるんですか？,社会属性の把握
社会属性,職業,DIRECT,今の仕事って一言でいうとどんな内容ですか？,社会属性の把握
社会属性,職業,INDIRECT,平日はどんな感じで一日が進むことが多いですか？,社会属性の把握
社会属性,職業,INDIRECT,仕事の話をするとき、どの部分が一番説明しやすいですか？,社会属性の把握
社会属性,職業,ASSUMPTION,人と調整する仕事が多そうですね。,社会属性の把握
社会属性,職業,ASSUMPTION,作るより回す側の仕事も結構ありそうですね。,社会属性の把握
社会属性,職業,COMPARISON,現場寄りの仕事と企画寄りの仕事ってありますよね。どちらに近いですか？,社会属性の把握
社会属性,職業,COMPARISON,一人で進める仕事と、誰かと進める仕事だとどちらが多いですか？,社会属性の把握
社会属性,職業,PAST,今の仕事に入ったきっかけって何だったんですか？,社会属性の把握
社会属性,職業,PAST,学生の頃から今の仕事に近いことは考えてました？,社会属性の把握
社会属性,職業,SITUATIONAL,初対面の人に仕事を説明するとき、どう伝えることが多いですか？,社会属性の把握
社会属性,職業,SITUATIONAL,忙しい週って、どんな業務が重なりやすいですか？,社会属性の把握
社会属性,職業,OBSERVATION,仕事の話をすると具体性がありますね。,社会属性の把握
社会属性,職業,OBSERVATION,段取りを組む仕事に強そうな印象があります。,社会属性の把握
社会属性,職業,HYPOTHETICAL,もし今の仕事を一言で看板にするなら、何て書きます？,社会属性の把握
社会属性,職業,HYPOTHETICAL,今と全然違う職種をやるなら、何が気になります？,社会属性の把握
社会属性,業界,DIRECT,業界について、今はどんな感じなんですか？,社会属性の把握
社会属性,業界,DIRECT,今の業界を一言でいうとどうなりますか？,社会属性の把握
社会属性,業界,INDIRECT,普段の生活の中で業界が見える場面ってあります？,社会属性の把握
社会属性,業界,INDIRECT,人に話すとき、業界はどう説明することが多いですか？,社会属性の把握
社会属性,業界,ASSUMPTION,業界はかなり積み上げてきた感じがありますね。,社会属性の把握
社会属性,業界,ASSUMPTION,わりと業界がはっきりしてるタイプですよね。,社会属性の把握
社会属性,業界,COMPARISON,人によって業界の考え方って違いますよね。ご自身はどんな感じですか？,社会属性の把握
社会属性,業界,COMPARISON,周りと比べると、業界は標準的な方ですか？,社会属性の把握
社会属性,業界,PAST,今の業界に至るまでで、大きなきっかけってありました？,社会属性の把握
社会属性,業界,PAST,昔から業界は同じ方向でした？,社会属性の把握
社会属性,業界,SITUATIONAL,初対面で業界を説明するとしたら、どう言います？,社会属性の把握
社会属性,業界,SITUATIONAL,転機のタイミングで業界を見直すことってありました？,社会属性の把握
社会属性,業界,OBSERVATION,話していて、業界がしっかりしてる印象です。,社会属性の把握
社会属性,業界,OBSERVATION,業界に対する解像度が高そうですね。,社会属性の把握
社会属性,業界,HYPOTHETICAL,もし業界を変えるなら、どの方向に寄せたいですか？,社会属性の把握
社会属性,業界,HYPOTHETICAL,理想の業界に一歩近づくなら、何を選びますか？,社会属性の把握
社会属性,所属組織,DIRECT,所属組織について、今はどんな感じなんですか？,社会属性の把握
社会属性,所属組織,DIRECT,今の所属組織を一言でいうとどうなりますか？,社会属性の把握
社会属性,所属組織,INDIRECT,普段の生活の中で所属組織が見える場面ってあります？,社会属性の把握
社会属性,所属組織,INDIRECT,人に話すとき、所属組織はどう説明することが多いですか？,社会属性の把握
社会属性,所属組織,ASSUMPTION,所属組織はかなり積み上げてきた感じがありますね。,社会属性の把握
社会属性,所属組織,ASSUMPTION,わりと所属組織がはっきりしてるタイプですよね。,社会属性の把握
社会属性,所属組織,COMPARISON,人によって所属組織の考え方って違いますよね。ご自身はどんな感じですか？,社会属性の把握
社会属性,所属組織,COMPARISON,周りと比べると、所属組織は標準的な方ですか？,社会属性の把握
社会属性,所属組織,PAST,今の所属組織に至るまでで、大きなきっかけってありました？,社会属性の把握
社会属性,所属組織,PAST,昔から所属組織は同じ方向でした？,社会属性の把握
社会属性,所属組織,SITUATIONAL,初対面で所属組織を説明するとしたら、どう言います？,社会属性の把握
社会属性,所属組織,SITUATIONAL,転機のタイミングで所属組織を見直すことってありました？,社会属性の把握
社会属性,所属組織,OBSERVATION,話していて、所属組織がしっかりしてる印象です。,社会属性の把握
社会属性,所属組織,OBSERVATION,所属組織に対する解像度が高そうですね。,社会属性の把握
社会属性,所属組織,HYPOTHETICAL,もし所属組織を変えるなら、どの方向に寄せたいですか？,社会属性の把握
社会属性,所属組織,HYPOTHETICAL,理想の所属組織に一歩近づくなら、何を選びますか？,社会属性の把握
社会属性,役職,DIRECT,役職について、今はどんな感じなんですか？,社会属性の把握
社会属性,役職,DIRECT,今の役職を一言でいうとどうなりますか？,社会属性の把握
社会属性,役職,INDIRECT,普段の生活の中で役職が見える場面ってあります？,社会属性の把握
社会属性,役職,INDIRECT,人に話すとき、役職はどう説明することが多いですか？,社会属性の把握
社会属性,役職,ASSUMPTION,役職はかなり積み上げてきた感じがありますね。,社会属性の把握
社会属性,役職,ASSUMPTION,わりと役職がはっきりしてるタイプですよね。,社会属性の把握
社会属性,役職,COMPARISON,人によって役職の考え方って違いますよね。ご自身はどんな感じですか？,社会属性の把握
社会属性,役職,COMPARISON,周りと比べると、役職は標準的な方ですか？,社会属性の把握
社会属性,役職,PAST,今の役職に至るまでで、大きなきっかけってありました？,社会属性の把握
社会属性,役職,PAST,昔から役職は同じ方向でした？,社会属性の把握
社会属性,役職,SITUATIONAL,初対面で役職を説明するとしたら、どう言います？,社会属性の把握
社会属性,役職,SITUATIONAL,転機のタイミングで役職を見直すことってありました？,社会属性の把握
社会属性,役職,OBSERVATION,話していて、役職がしっかりしてる印象です。,社会属性の把握
社会属性,役職,OBSERVATION,役職に対する解像度が高そうですね。,社会属性の把握
社会属性,役職,HYPOTHETICAL,もし役職を変えるなら、どの方向に寄せたいですか？,社会属性の把握
社会属性,役職,HYPOTHETICAL,理想の役職に一歩近づくなら、何を選びますか？,社会属性の把握
社会属性,学歴,DIRECT,学歴について、今はどんな感じなんですか？,社会属性の把握
社会属性,学歴,DIRECT,今の学歴を一言でいうとどうなりますか？,社会属性の把握
社会属性,学歴,INDIRECT,普段の生活の中で学歴が見える場面ってあります？,社会属性の把握
社会属性,学歴,INDIRECT,人に話すとき、学歴はどう説明することが多いですか？,社会属性の把握
社会属性,学歴,ASSUMPTION,学歴はかなり積み上げてきた感じがありますね。,社会属性の把握
社会属性,学歴,ASSUMPTION,わりと学歴がはっきりしてるタイプですよね。,社会属性の把握
社会属性,学歴,COMPARISON,人によって学歴の考え方って違いますよね。ご自身はどんな感じですか？,社会属性の把握
社会属性,学歴,COMPARISON,周りと比べると、学歴は標準的な方ですか？,社会属性の把握
社会属性,学歴,PAST,今の学歴に至るまでで、大きなきっかけってありました？,社会属性の把握
社会属性,学歴,PAST,昔から学歴は同じ方向でした？,社会属性の把握
社会属性,学歴,SITUATIONAL,初対面で学歴を説明するとしたら、どう言います？,社会属性の把握
社会属性,学歴,SITUATIONAL,転機のタイミングで学歴を見直すことってありました？,社会属性の把握
社会属性,学歴,OBSERVATION,話していて、学歴がしっかりしてる印象です。,社会属性の把握
社会属性,学歴,OBSERVATION,学歴に対する解像度が高そうですね。,社会属性の把握
社会属性,学歴,HYPOTHETICAL,もし学歴を変えるなら、どの方向に寄せたいですか？,社会属性の把握
社会属性,学歴,HYPOTHETICAL,理想の学歴に一歩近づくなら、何を選びますか？,社会属性の把握
社会属性,専攻,DIRECT,専攻について、今はどんな感じなんですか？,社会属性の把握
社会属性,専攻,DIRECT,今の専攻を一言でいうとどうなりますか？,社会属性の把握
社会属性,専攻,INDIRECT,普段の生活の中で専攻が見える場面ってあります？,社会属性の把握
社会属性,専攻,INDIRECT,人に話すとき、専攻はどう説明することが多いですか？,社会属性の把握
社会属性,専攻,ASSUMPTION,専攻はかなり積み上げてきた感じがありますね。,社会属性の把握
社会属性,専攻,ASSUMPTION,わりと専攻がはっきりしてるタイプですよね。,社会属性の把握
社会属性,専攻,COMPARISON,人によって専攻の考え方って違いますよね。ご自身はどんな感じですか？,社会属性の把握
社会属性,専攻,COMPARISON,周りと比べると、専攻は標準的な方ですか？,社会属性の把握
社会属性,専攻,PAST,今の専攻に至るまでで、大きなきっかけってありました？,社会属性の把握
社会属性,専攻,PAST,昔から専攻は同じ方向でした？,社会属性の把握
社会属性,専攻,SITUATIONAL,初対面で専攻を説明するとしたら、どう言います？,社会属性の把握
社会属性,専攻,SITUATIONAL,転機のタイミングで専攻を見直すことってありました？,社会属性の把握
社会属性,専攻,OBSERVATION,話していて、専攻がしっかりしてる印象です。,社会属性の把握
社会属性,専攻,OBSERVATION,専攻に対する解像度が高そうですね。,社会属性の把握
社会属性,専攻,HYPOTHETICAL,もし専攻を変えるなら、どの方向に寄せたいですか？,社会属性の把握
社会属性,専攻,HYPOTHETICAL,理想の専攻に一歩近づくなら、何を選びますか？,社会属性の把握
社会属性,キャリア年数,DIRECT,キャリア年数について、今はどんな感じなんですか？,社会属性の把握
社会属性,キャリア年数,DIRECT,今のキャリア年数を一言でいうとどうなりますか？,社会属性の把握
社会属性,キャリア年数,INDIRECT,普段の生活の中でキャリア年数が見える場面ってあります？,社会属性の把握
社会属性,キャリア年数,INDIRECT,人に話すとき、キャリア年数はどう説明することが多いですか？,社会属性の把握
社会属性,キャリア年数,ASSUMPTION,キャリア年数はかなり積み上げてきた感じがありますね。,社会属性の把握
社会属性,キャリア年数,ASSUMPTION,わりとキャリア年数がはっきりしてるタイプですよね。,社会属性の把握
社会属性,キャリア年数,COMPARISON,人によってキャリア年数の考え方って違いますよね。ご自身はどんな感じですか？,社会属性の把握
社会属性,キャリア年数,COMPARISON,周りと比べると、キャリア年数は標準的な方ですか？,社会属性の把握
社会属性,キャリア年数,PAST,今のキャリア年数に至るまでで、大きなきっかけってありました？,社会属性の把握
社会属性,キャリア年数,PAST,昔からキャリア年数は同じ方向でした？,社会属性の把握
社会属性,キャリア年数,SITUATIONAL,初対面でキャリア年数を説明するとしたら、どう言います？,社会属性の把握
社会属性,キャリア年数,SITUATIONAL,転機のタイミングでキャリア年数を見直すことってありました？,社会属性の把握
社会属性,キャリア年数,OBSERVATION,話していて、キャリア年数がしっかりしてる印象です。,社会属性の把握
社会属性,キャリア年数,OBSERVATION,キャリア年数に対する解像度が高そうですね。,社会属性の把握
社会属性,キャリア年数,HYPOTHETICAL,もしキャリア年数を変えるなら、どの方向に寄せたいですか？,社会属性の把握
社会属性,キャリア年数,HYPOTHETICAL,理想のキャリア年数に一歩近づくなら、何を選びますか？,社会属性の把握
社会属性,収入層,DIRECT,収入層について、今はどんな感じなんですか？,社会属性の把握
社会属性,収入層,DIRECT,今の収入層を一言でいうとどうなりますか？,社会属性の把握
社会属性,収入層,INDIRECT,普段の生活の中で収入層が見える場面ってあります？,社会属性の把握
社会属性,収入層,INDIRECT,人に話すとき、収入層はどう説明することが多いですか？,社会属性の把握
社会属性,収入層,ASSUMPTION,収入層はかなり積み上げてきた感じがありますね。,社会属性の把握
社会属性,収入層,ASSUMPTION,わりと収入層がはっきりしてるタイプですよね。,社会属性の把握
社会属性,収入層,COMPARISON,人によって収入層の考え方って違いますよね。ご自身はどんな感じですか？,社会属性の把握
社会属性,収入層,COMPARISON,周りと比べると、収入層は標準的な方ですか？,社会属性の把握
社会属性,収入層,PAST,今の収入層に至るまでで、大きなきっかけってありました？,社会属性の把握
社会属性,収入層,PAST,昔から収入層は同じ方向でした？,社会属性の把握
社会属性,収入層,SITUATIONAL,初対面で収入層を説明するとしたら、どう言います？,社会属性の把握
社会属性,収入層,SITUATIONAL,転機のタイミングで収入層を見直すことってありました？,社会属性の把握
社会属性,収入層,OBSERVATION,話していて、収入層がしっかりしてる印象です。,社会属性の把握
社会属性,収入層,OBSERVATION,収入層に対する解像度が高そうですね。,社会属性の把握
社会属性,収入層,HYPOTHETICAL,もし収入層を変えるなら、どの方向に寄せたいですか？,社会属性の把握
社会属性,収入層,HYPOTHETICAL,理想の収入層に一歩近づくなら、何を選びますか？,社会属性の把握
家族背景,家族構成,DIRECT,家族構成って、差し支えない範囲でどんな感じですか？,家族背景の把握
家族背景,家族構成,DIRECT,家のことだと、家族構成はどんなふうに説明できますか？,家族背景の把握
家族背景,家族構成,INDIRECT,家の話って普段どのくらいします？,家族背景の把握
家族背景,家族構成,INDIRECT,育った環境のことを振り返ると、家族構成は印象に残ってますか？,家族背景の把握
家族背景,家族構成,ASSUMPTION,家族構成は今の考え方にも少し影響してそうですね。,家族背景の把握
家族背景,家族構成,ASSUMPTION,ご家庭の家族構成はわりと特徴がありそうですね。,家族背景の把握
家族背景,家族構成,COMPARISON,家庭って人によって距離感が違いますよね。家族構成はどんな感じでした？,家族背景の把握
家族背景,家族構成,COMPARISON,周りと比べると、家族構成は近い方でしたか？,家族背景の把握
家族背景,家族構成,PAST,子どもの頃の家族構成で覚えていることってあります？,家族背景の把握
家族背景,家族構成,PAST,昔のご家庭の家族構成って、今思うとどうでした？,家族背景の把握
家族背景,家族構成,SITUATIONAL,誰かに家のことを話すなら、家族構成はどう伝えますか？,家族背景の把握
家族背景,家族構成,SITUATIONAL,年末年始みたいな時期に家族構成は出やすいですか？,家族背景の把握
家族背景,家族構成,OBSERVATION,家の話になると、家族構成が大事そうに見えます。,家族背景の把握
家族背景,家族構成,OBSERVATION,話し方から、家族構成に温度感がありますね。,家族背景の把握
家族背景,家族構成,HYPOTHETICAL,もし家族のあり方を一つ選べるなら、家族構成はどうしたいですか？,家族背景の把握
家族背景,家族構成,HYPOTHETICAL,今後家族構成が変わるとしたら、どんな方向が理想ですか？,家族背景の把握
家族背景,両親関係,DIRECT,両親関係って、差し支えない範囲でどんな感じですか？,家族背景の把握
家族背景,両親関係,DIRECT,家のことだと、両親関係はどんなふうに説明できますか？,家族背景の把握
家族背景,両親関係,INDIRECT,家の話って普段どのくらいします？,家族背景の把握
家族背景,両親関係,INDIRECT,育った環境のことを振り返ると、両親関係は印象に残ってますか？,家族背景の把握
家族背景,両親関係,ASSUMPTION,両親関係は今の考え方にも少し影響してそうですね。,家族背景の把握
家族背景,両親関係,ASSUMPTION,ご家庭の両親関係はわりと特徴がありそうですね。,家族背景の把握
家族背景,両親関係,COMPARISON,家庭って人によって距離感が違いますよね。両親関係はどんな感じでした？,家族背景の把握
家族背景,両親関係,COMPARISON,周りと比べると、両親関係は近い方でしたか？,家族背景の把握
家族背景,両親関係,PAST,子どもの頃の両親関係で覚えていることってあります？,家族背景の把握
家族背景,両親関係,PAST,昔のご家庭の両親関係って、今思うとどうでした？,家族背景の把握
家族背景,両親関係,SITUATIONAL,誰かに家のことを話すなら、両親関係はどう伝えますか？,家族背景の把握
家族背景,両親関係,SITUATIONAL,年末年始みたいな時期に両親関係は出やすいですか？,家族背景の把握
家族背景,両親関係,OBSERVATION,家の話になると、両親関係が大事そうに見えます。,家族背景の把握
家族背景,両親関係,OBSERVATION,話し方から、両親関係に温度感がありますね。,家族背景の把握
家族背景,両親関係,HYPOTHETICAL,もし家族のあり方を一つ選べるなら、両親関係はどうしたいですか？,家族背景の把握
家族背景,両親関係,HYPOTHETICAL,今後両親関係が変わるとしたら、どんな方向が理想ですか？,家族背景の把握
家族背景,兄弟姉妹,DIRECT,兄弟姉妹って、差し支えない範囲でどんな感じですか？,家族背景の把握
家族背景,兄弟姉妹,DIRECT,家のことだと、兄弟姉妹はどんなふうに説明できますか？,家族背景の把握
